Coords,Mags F555,Mags F336,Aperture Radius
"(599, 384)",23.295334193708165,21.100860929268265,8
"(601, 384)",25.090345797000545,21.100860929268265,8
"(635, 384)",23.157002185263643,21.222708279887577,8
"(613, 385)",19.456968766264765,17.844237066019396,8
"(214, 386)",21.110492036328665,19.350503781203827,8
"(234, 386)",21.216398994799356,19.866018121023416,8
"(599, 386)",22.750463981148535,20.617378665609962,8
"(611, 386)",19.386654349728545,17.90832227892092,8
"(634, 386)",23.157160677613923,21.38979342055562,8
"(284, 387)",22.83808886110416,20.449594182981507,8
"(286, 387)",22.748473994072306,21.015129464728865,8
"(613, 387)",19.308064614686373,17.844237066019396,8
"(329, 388)",23.283775741753203,20.982434403400454,8
"(609, 388)",19.329964536240944,17.72650131569071,8
"(611, 388)",19.27732932676053,17.753061925654364,8
"(284, 389)",23.790791567011738,21.433780868422737,8
"(286, 389)",22.954567289739657,21.015129464728865,8
"(328, 390)",23.063426742203802,24.017835784635444,8
"(330, 390)",23.078769330818247,20.787422443685806,8
"(609, 390)",19.30350904493558,17.735382464372982,8
"(284, 391)",22.452535960010728,20.406658566953745,8
"(608, 392)",19.446600692700954,17.826618000412992,8
"(610, 392)",19.322706411812185,17.785440914083217,8
"(689, 393)",23.66526028276727,21.347361201280442,8
"(127, 394)",23.07163725897002,20.645002506430316,8
"(572, 394)",22.124577185329393,20.009399865873185,8
"(609, 394)",19.534131154335697,17.864589819265753,8
"(687, 394)",25.893603501305677,21.582718030551575,8
"(395, 395)",21.22943839789157,19.198631944077952,8
"(399, 395)",23.055217270457135,20.412289747853336,8
"(574, 395)",22.339742028224272,20.337006391251563,8
"(641, 395)",22.68251177796752,21.914359541750464,8
"(397, 396)",21.217435823919644,20.56299345039622,8
"(571, 396)",22.34504195087503,20.071338497623145,8
"(394, 397)",21.154404646915033,19.0503547334582,8
"(399, 397)",22.030720680193447,20.56299345039622,8
"(633, 397)",24.273984743658644,21.543005561985858,8
"(390, 398)",22.629338824585993,20.560483853344735,8
"(396, 398)",21.07899724951202,19.0503547334582,8
