Coord,amplitude,xcentroid,ycentroid,sigx,sigy,ellipticity,SNR,Magnitudes,Reason
"(24, 711)",0.016669121320974433,10.905702096252352,6.094301106821356,0.2592667858931095,0.2592658102743155,3.762991817923833e-06,9.54437309799492,22.82364694156808,Bad sizing
"(31, 711)",0.0056215451539658,11.490457034346893,6.373965038512975,2.9999999999999996,2.9999999999999996,0.0,156.49374390056914,20.295164392361784,Bad sizing
"(521, 711)",0.0007276252404383396,8.683883449914552,8.681321386403669,0.23419526116488873,0.2320479507754135,0.009168889151703996,43.301909030174045,21.48005959972412,Bad sizing
"(11, 712)",0.002327715402229329,8.499994858239006,8.499983417193153,0.24572255450407163,0.2460816559718183,0.001459277678900972,261.245153255437,19.63854272858297,Bad sizing
"(211, 712)",0.015586955095188334,2.528875357028975,6.555712506540207,0.9599934342425729,2.177885272353052,0.5592084457206659,232.1784613055036,20.479057265427038,"Not elliptical,Bad sizing"
"(295, 712)",0.0009427188082389434,8.671773487286487,8.696886797267767,0.23421161551657538,0.22943426061462752,0.020397600227516355,74.7991880760637,21.628840302294492,Bad sizing
"(523, 712)",0.002362232482926852,8.426001765230534,8.149859030332706,0.28939714538477995,0.27639140302343274,0.04494081081572143,36.96962793550467,21.602404414505664,Bad sizing
"(27, 713)",0.005852649301022815,10.307411208309547,10.136198117278179,2.9999999999999996,2.9999999999999996,0.0,206.46958370892048,20.122371942274064,Bad sizing
"(33, 713)",0.01948054891848856,8.49524122645515,7.699910072462215,0.4903773049950937,0.498732727908677,0.016753307826057218,60.17280214171466,21.07301987617611,Bad sizing
"(35, 713)",0.042487772597973844,4.120471826021765,8.537429307105443,2.431605542341248,0.2171220462429726,0.9107083601915471,46.927831062451546,21.3986341465992,"Not elliptical,Bad sizing"
"(386, 713)",0.0023516338031642097,8.281780424843474,8.290846716787449,0.22207734922243758,0.21649413193643333,0.025140867835251268,347.50319304381344,19.06878157030482,Bad sizing
"(125, 714)",0.005829339391972393,8.499999506280886,8.500000310967128,0.22236031504328968,0.22247559942201023,0.0005181888666444534,274.28016939541493,19.246030152447595,Bad sizing
"(474, 714)",0.0023749556871683476,8.499999978668145,8.499999978758996,0.23213866326320226,0.23213868500958013,9.367838826879193e-08,33.793388270209896,20.961989308408235,Bad sizing
"(698, 714)",0.0015387655367754415,8.70441065277621,8.576461134102752,0.21705673521672322,0.22909577965034092,0.05255026719388889,13.337834095605174,23.254533755267026,Bad sizing
"(32, 715)",0.005626402077205351,8.475847086885365,5.582091957167972,2.9999999999999996,2.9999999999999996,0.0,105.22793966564008,20.569178538022875,Bad sizing
"(35, 715)",0.005853370620143531,8.566165764287662,2.6702818813506277,2.9999999999999996,2.9999999999999996,0.0,152.9813346215961,20.461634521385143,Bad sizing
"(56, 715)",0.004139665042768425,11.275167466543955,5.481720686779475,2.9999999999999996,2.9999999999999996,0.0,69.60958972493104,21.015619854587186,Bad sizing
"(385, 715)",0.004356140380835023,8.499999859301965,8.49999910103537,0.23212239770910167,0.23226244752577643,0.000602980887210447,171.0646806449125,19.66847486729332,Bad sizing
"(9, 716)",0.011604790401940472,9.526377125869956,6.909613983178914,0.39497657333273756,2.1706270453592413,0.8180357265071446,37.330177537163465,21.275280845251103,"Not elliptical,Bad sizing"
"(22, 716)",0.004454324687579361,7.7678028723404084,3.1241264779718696,2.9999999999999996,2.9999999999999996,0.0,95.93306099220044,20.62041121301931,Bad sizing
"(25, 716)",0.010254665652454097,8.000189557661344,8.000062958116446,0.2518369711999005,0.2627898108243837,0.04167908789965491,69.52879514215648,20.90112907789809,Bad sizing
"(546, 716)",0.002742268341231267,8.481264162109586,8.450837088258432,0.26458828257208,0.2617546739810595,0.01070950143171423,344.40504155758816,19.950192189732384,Bad sizing
"(548, 716)",0.0011608416198438387,8.338005641440382,8.337998277268813,0.2109710970583612,0.21097491064207977,1.8076005848133292e-05,161.408944061207,20.452398290798563,Bad sizing
"(35, 717)",0.1218285466453518,8.31793398916085,1.6588751038169773,0.3077486303598224,0.34102370005972044,0.09757406800193313,75.50766802389651,20.990141521869567,Bad sizing
"(396, 717)",0.0028764598556995226,8.500004024875858,8.500001384381155,0.24496150608252965,0.24483423905927246,0.0005195388667079692,85.61583320867769,20.42326769341043,Bad sizing
"(656, 717)",0.003415787203206903,8.295636758188449,8.29562834227386,0.20000322771191623,0.20000000000021462,1.6138298059131806e-05,41.26432632924278,21.282887615837744,Bad sizing
"(26, 718)",0.10541638068044534,7.295035059317517,10.663432986878755,0.32317701972770874,0.34333022192315177,0.058699179124271694,54.19432530085651,21.159955119983998,Bad sizing
"(398, 718)",0.0028333401113543395,8.500060289243985,8.500016468180002,0.24683324008685445,0.24438729682292004,0.009909294481868614,74.39240633365021,20.5012092711017,Bad sizing
"(547, 718)",0.0019868071421264653,8.500059883959828,8.499898420414885,0.2458362866362559,0.24768189123948803,0.007451512074605371,171.81473141363207,20.272944063639976,Bad sizing
"(549, 718)",0.002004450459590049,8.500033474284546,8.499988499920937,0.24574771245640203,0.24473983684933737,0.0041012613993038904,25.41988506299851,22.031054082474164,Bad sizing
"(645, 718)",0.002159266433064911,8.69920999269142,8.704502878865744,0.21496952532143185,0.22060800311181328,0.025558808886564366,118.5551203089303,20.145767639327197,Bad sizing
