Coord,amplitude,xcentroid,ycentroid,sigx,sigy,ellipticity,SNR,Magnitudes
"(326, 618)",0.02041959893560595,8.02657820508885,4.161438160216542,0.5836761527807713,0.599953293086419,0.02713067915989098,79.96760875763782,23.795129474705313
"(421, 618)",0.7541006368319597,10.92586569535319,11.378803353538693,0.6632877490075222,0.7774968416333818,0.14689332034574798,592.0816513313067,20.5142732894481
"(635, 618)",0.16006549443659404,7.890790752196909,4.7403274308599315,0.6931807444048661,0.7249839849463874,0.04386750769932268,312.8205571025548,21.80794192457936
"(665, 618)",5.631581959763839,11.275100104838204,10.789963187892111,1.1213660091148399,1.1000734611478742,0.018988044754248534,2050.9711313070634,17.588371201853285
"(151, 619)",1.6542847615878207,6.635301756830432,10.98246921631014,0.8432618443566743,0.6736477631064571,0.20114046708660938,1185.0758833227806,19.55732232241818
"(223, 619)",1.4623375699979106,5.324129885962524,10.558066955764685,0.9108762491818234,0.8417699484828564,0.07586793569493155,1504.779683970301,19.488870495290733
"(321, 619)",0.020426309204621806,7.026524991756955,9.160813081268289,0.5853578793882105,0.6019778369817945,0.027608919419547795,3.16915108084633,27.31594390691484
"(351, 619)",0.2247399934482921,13.040452600688768,9.596776667155519,0.8128138351998815,0.853846694637318,0.048056471606844786,387.28102770989614,21.128871628081676
"(225, 620)",1.4620615545674116,4.324099725898781,8.557993680984891,0.911406804607928,0.8423235319788935,0.07579850433391588,1632.6972795831985,19.464603005967255
"(283, 620)",0.022626050310749143,5.806883122443937,8.81532795319793,0.6390138840929784,0.7010453280675618,0.08848421277633167,39.736952935574145,24.830211670923582
"(353, 620)",0.22421072234933181,12.039926335557917,7.595921669963776,0.817430396396364,0.8581178670030423,0.047414780849137195,462.28198305272895,21.01344721505479
"(562, 620)",0.20936669841281214,11.023497089184549,11.418825203424248,0.7426375289643141,0.89303298686113,0.16840974533923114,419.6942358271604,21.408374896994275
"(564, 620)",0.21079623352918017,11.025494294164494,9.421658139151738,0.7187644359740827,0.8622784435578758,0.16643580580726935,154.88592611831174,21.856356840751054
"(319, 621)",0.007341480472791511,7.115226907953761,7.289788678710953,0.8904429763641174,0.6991024718991936,0.21488237825875256,31.565325527563967,24.900933043662263
"(694, 621)",0.018512349873296263,7.854979347873563,5.044231583012945,0.8045984922910218,0.8211298807981865,0.020132489261132758,68.05748474080504,23.46328865781536
"(692, 622)",0.018426829746245283,6.854105886175324,7.044016957306082,0.8106514319354495,0.8295403434799314,0.022770335033065026,58.76968849023519,23.635221798621664
"(354, 623)",0.2276977450671537,9.043550466576827,6.601816917693383,0.7862226212018153,0.8274909927763313,0.049871686743145904,268.4947716240826,21.126509543590593
"(466, 623)",0.1080217463980586,9.73213629137422,8.823167229804744,0.7578009515619376,0.6934688363739595,0.08489315704259848,116.73877469101787,22.544810318682288
"(468, 623)",0.10921021293044317,9.735856463265835,6.822145448084895,0.7338443224875264,0.6779545817501883,0.0761602141280967,80.56147836563284,22.750771048675624
"(480, 623)",0.06278203402753228,8.037487477636235,5.487681184923912,0.6724013110347082,0.753374120754652,0.1074802113441774,78.62003325015154,22.578527866301314
